Integral Name,Class,Ra Obj,Dec Obj,Integral Alt Names,Maxi Name,Maxi ID,Swift Name,Swift ID,Fermi Name,Fermi ID,Swift Weak
4PBC J2008.7+3221,9999,302.124,32.35,--,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
SWIFT J2009.0-6103,7104,302.19583,-61.096669999999996,"NGC 6860, ESO 143-9, IRAS F20045-6114, IRAS F20044-6114, LEDA 64166, RX J200847-61055, 1RXS J200848.4-610548",NGC 6860,J2008-610,NGC 6860,NGC6860,noFermi,noFermi,yes
QSO B2005-489,7300,302.3558,-48.831579999999995,"HD 190898, 1Jy 2005-489, 1RXS J200925.6-484953, GeV J2009-4827, IRAS F20057-4858, PKS J2009-4849, RX J2009.4-4849",noMaxi,noMaxi,PKS 2005-489,PKS2005-489,noFermi,noFermi,yes
IGR J20107+4534,9999,302.643,45.567997,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
SWIFT J2012.0-5648,5000,303.059,-56.824,Abell 2367,Abell 3667,J2012-568,noSwift,noSwift,noFermi,noFermi,noSwift
XTE J2012+381,1400,303.1575,38.183640000000004,[WW2002] 14,noMaxi,noMaxi,XTE J2012+381,XTEJ2012p381,noFermi,noFermi,yes
IGR J20146+5112,9999,303.656,51.208999999999996,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J20155+3827,9999,303.875,38.45,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J20159+3713,3200,303.881,37.188,"SNR G074.9+01.2, SWIFT J2015.9+3715",noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
SWIFT J2018.4-5539,7000,304.433,-55.68,PKS 2014-55,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J20187+4041,7100,304.66,40.682888,"IGR J20186+4043, 2MASX J20183871+4041003, IGR J201804043",noMaxi,noMaxi,IGR J20187+4041,IGRJ20187p4041,noFermi,noFermi,yes
IGR J20188+3647,9999,304.7,36.791942999999996,EXMS B2016+366?,noMaxi,noMaxi,IGR J20188+3647,IGRJ20188p3647,noFermi,noFermi,yes
2CG 010-31,1700,304.75,-31.8,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
2CG 075+00,1700,304.95,37.316666,"GRO J2021+37, 2EG J2019+3719, GeV J2020+3658",noMaxi,noMaxi,2CG 075+00,2CG075p00,noFermi,noFermi,yes
